,t,Q,P,h,Target,dt,tIn,tOff
82,2023-05-12 20:30:00,25.9372,65.7713,311.76205098,65.26211463060103,22.75,2023-05-12,2023-05-12 22:45:00
83,2023-05-12 20:45:00,32.9498,81.5266,309.04138466,85.13846313403297,22.75,2023-05-12,2023-05-12 22:45:00
84,2023-05-12 21:00:00,35.0595,90.3498,306.08719788,89.94611156282942,22.75,2023-05-12,2023-05-12 22:45:00
85,2023-05-12 21:15:00,28.2201,69.3926,311.58767544,71.62620326365555,22.75,2023-05-12,2023-05-12 22:45:00
86,2023-05-12 21:30:00,40.5386,104.2692,303.21561004,103.32563003452552,22.75,2023-05-12,2023-05-12 22:45:00
87,2023-05-12 21:45:00,34.2486,84.9155,309.50332688,88.73935176115603,22.75,2023-05-12,2023-05-12 22:45:00
88,2023-05-12 22:00:00,42.0521,107.9727,303.47564374,107.26836551661368,22.75,2023-05-12,2023-05-12 22:45:00
89,2023-05-12 22:15:00,33.7532,85.6109,311.04415402,87.89114110705249,22.75,2023-05-12,2023-05-12 22:45:00
90,2023-05-12 22:30:00,42.2451,106.866,303.99673088,107.94571048860993,22.75,2023-05-12,2023-05-12 22:45:00
91,2023-05-12 22:45:00,35.3939,91.1629,311.08596336,92.28696092606702,22.75,2023-05-12,2023-05-12 22:45:00
